source;target
HS;H2S
HS;S
HS;H2S
HS;S
C4H;HC5N
C4H;CN
NCCN;HC5N
NCCN;CN
C;H2CCCC
C;H2
CH3CCH;H2CCCC
CH3CCH;H2
O;O2
O;H
OH;O2
OH;H
N;HCN
N;CH3
C2H4;HCN
C2H4;CH3
CH;C2H4
CH;CH3
CH3CH3;C2H4
CH3CH3;CH3
NH;NO
NH;OH
O2;NO
O2;OH
NH;HNO
NH;O
O2;HNO
O2;O
CH;CO
CH;NH
NO;CO
NO;NH
H;He
H;H2+
HeH+;He
HeH+;H2+
H;C+
H;H2
CH+;C+
CH+;H2
H+;CH+
H+;H2
CH2;CH+
CH2;H2
H;CH+
H;H2
CH2+;CH+
CH2+;H2
H;CH2+
H;H2
CH3+;CH2+
CH3+;H2
H+;CH3+
H+;H2
CH4;CH3+
CH4;H2
H;CH3+
H;H2
CH4+;CH3+
CH4+;H2
H;CH4+
H;H2
CH5+;CH4+
CH5+;H2
H-;OH-
H-;H2
H2O;OH-
H2O;H2
H+;C2+
H+;H2
C2H;C2+
C2H;H2
H-;CN-
H-;H2
HCN;CN-
HCN;H2
H+;C2H2+
H+;H2
C2H3;C2H2+
C2H3;H2
H;C2H2+
H;H2
C2H3+;C2H2+
C2H3+;H2
H+;C2H2+
H+;H2
H+;H
C2H4;C2H2+
C2H4;H2
C2H4;H
H+;C2H3+
H+;H2
C2H4;C2H3+
C2H4;H2
H;C2H3+
H;H2
C2H4+;C2H3+
C2H4+;H2
H+;CO+
H+;H2
HCO;CO+
HCO;H2
H+;CO
H+;H2+
HCO;CO
HCO;H2+
H+;NH2
H+;CH2+
CH2NH;NH2
CH2NH;CH2+
H+;NH2+
H+;CH2
CH2NH;NH2+
CH2NH;CH2
H+;C2H4+
H+;H2
C2H5;C2H4+
C2H5;H2
H;C2H4+
H;H2
C2H5+;C2H4+
C2H5+;H2
H+;Si+
H+;H2
SiH;Si+
SiH;H2
H;Si+
H;H2
SiH+;Si+
SiH+;H2
H+;CO+
H+;H2
H+;H
H2CO;CO+
H2CO;H2
H2CO;H
H+;HCO+
H+;H2
H2CO;HCO+
H2CO;H2
H+;C2H4+
H+;H2
H+;H
CH3CH3;C2H4+
CH3CH3;H2
CH3CH3;H
H;C2H5+
H;H2
CH3CH3+;C2H5+
CH3CH3+;H2
H+;C2H3+
H+;H2
H+;H2
CH3CH3;C2H3+
CH3CH3;H2
CH3CH3;H2
H+;SiH+
H+;H2
SiH2;SiH+
SiH2;H2
H+;NO+
H+;H2
HNO;NO+
HNO;H2
H+;SiH2+
H+;H2
SiH3;SiH2+
SiH3;H2
H+;H3CO+
H+;H2
CH3OH;H3CO+
CH3OH;H2
H+;CH3+
H+;H2O
CH3OH;CH3+
CH3OH;H2O
H+;HCO+
H+;H2
H+;H2
CH3OH;HCO+
CH3OH;H2
CH3OH;H2
H+;SiH3+
H+;H2
SiH4;SiH3+
SiH4;H2
H+;S+
H+;H2
HS;S+
HS;H2
H;S+
H;H2
HS+;S+
HS+;H2
H+;HS+
H+;H2
H2S;HS+
H2S;H2
H+;S+
H+;H2
H+;H
H2S;S+
H2S;H2
H2S;H
H;HS+
H;H2
H2S+;HS+
H2S+;H2
H;H2S+
H;H2
H3S+;H2S+
H3S+;H2
H+;C3+
H+;H2
C3H;C3+
C3H;H2
H+;C3H+
H+;H2
C3H2;C3H+
C3H2;H2
H+;C3H+
H+;H2
H2CCC;C3H+
H2CCC;H2
H;C3H+
H;H2
C3H2+;C3H+
C3H2+;H2
H+;C3H2+
H+;H2
C3H3;C3H2+
C3H3;H2
H;C3H3+
H;H2
CH3CCH+;C3H3+
CH3CCH+;H2
H+;H2C3H+
H+;H2
CH3CCH;H2C3H+
CH3CCH;H2
H+;SiC+
H+;H2
HCSi;SiC+
HCSi;H2
H+;CH2CN+
H+;H2
CH3CN;CH2CN+
CH3CN;H2
H+;CH3+
H+;HCN
CH3CN;CH3+
CH3CN;HCN
H+;HCSi+
H+;H2
SiCH2;HCSi+
SiCH2;H2
H+;SiN+
H+;H2
HNSi;SiN+
HNSi;H2
H+;SiCH2+
H+;H2
SiCH3;SiCH2+
SiCH3;H2
H;C3H6+
H;H2
C3H7+;C3H6+
C3H7+;H2
H+;HCO+
H+;O
CO2;HCO+
CO2;O
H;HCO+
H;O
CO2+;HCO+
CO2+;O
H+;HN2+
H+;O
N2O;HN2+
N2O;O
H+;CS+
H+;H2
HCS;CS+
HCS;H2
H+;NO+
H+;OH
NO2;NO+
NO2;OH
H;NO+
H;OH
NO2+;NO+
NO2+;OH
H+;SiOH+
H+;H2
H2SiO;SiOH+
H2SiO;H2
H+;C4+
H+;H2
C4H;C4+
C4H;H2
H+;C4H+
H+;H2
H2CCCC;C4H+
H2CCCC;H2
H+;C4H2+
H+;H2
C4H3;C4H2+
C4H3;H2
H;HCN+
H;CN
C2N2+;HCN+
C2N2+;CN
H+;HC3NH+
H+;H2
CH2CHCN;HC3NH+
CH2CHCN;H2
H+;SiC2+
H+;H2
SiC2H;SiC2+
SiC2H;H2
H+;SiC2H+
H+;H2
SiC2H2;SiC2H+
SiC2H2;H2
H+;HS+
H+;CO
OCS;HS+
OCS;CO
H;HS
H;Si+
SiS+;HS
SiS+;Si+
H+;C5+
H+;H2
C5H;C5+
C5H;H2
H+;C5H+
H+;H2
C5H2;C5H+
C5H2;H2
H;SO+
H;OH
SO2+;SO+
SO2+;OH
H+;C5H3+
H+;H2
CH3C4H;C5H3+
CH3C4H;H2
H+;HC3N
H+;CH3+
CH3C3N;HC3N
CH3C3N;CH3+
H+;SiC3+
H+;H2
SiC3H;SiC3+
SiC3H;H2
H+;C6+
H+;H2
C6H;C6+
C6H;H2
H+;C6H+
H+;H2
C6H2;C6H+
C6H2;H2
H;C6H5+
H;H2
C6H6+;C6H5+
C6H6+;H2
H+;C7+
H+;H2
C7H;C7+
C7H;H2
H+;C7H+
H+;H2
C7H2;C7H+
C7H2;H2
H+;C7H3+
H+;H2
C7H4;C7H3+
C7H4;H2
H+;HC5N
H+;CH3+
CH3C5N;HC5N
CH3C5N;CH3+
H+;C8+
H+;H2
C8H;C8+
C8H;H2
H+;C8H+
H+;H2
C8H2;C8H+
C8H2;H2
H+;C9+
H+;H2
C9H;C9+
C9H;H2
H+;C9H+
H+;H2
C9H2;C9H+
C9H2;H2
H+;HC7N
H+;CH3+
CH3C7N;HC7N
CH3C7N;CH3+
H2+;H3+
H2+;H
H2;H3+
H2;H
H2+;HeH+
H2+;H
He;HeH+
He;H
H2;He
H2;H+
H2;H
He+;He
He+;H+
He+;H
H2;He
H2;H3+
HeH+;He
HeH+;H3+
H2+;CH+
H2+;H
C;CH+
C;H
H2;CH+
H2;H
C+;CH+
C+;H
H2+;CH2+
H2+;H
CH;CH2+
CH;H
H2;CH2+
H2;H
CH+;CH2+
CH+;H
H2+;NH+
H2+;H
N;NH+
N;H
H2;NH+
H2;H
N+;NH+
N+;H
H2+;CH3+
H2+;H
CH2;CH3+
CH2;H
H2;CH3+
H2;H
CH2+;CH3+
CH2+;H
H2;N
H2;H3+
NH+;N
NH+;H3+
H2+;NH2+
H2+;H
NH;NH2+
NH;H
H2;NH2+
H2;H
NH+;NH2+
NH+;H
H2+;OH+
H2+;H
O;OH+
O;H
H2;OH+
H2;H
O+;OH+
O+;H
H2;OH-
H2;H
O-;OH-
O-;H
H2;NH3+
H2;H
NH2+;NH3+
NH2+;H
H2+;CH5+
H2+;H
CH4;CH5+
CH4;H
H2;CH5+
H2;H
CH4+;CH5+
CH4+;H
H2;CH5+
H2;H
CH4+;CH5+
CH4+;H
H2+;CH3+
H2+;H2
H2+;H
CH4;CH3+
CH4;H2
CH4;H
H2+;H2O+
H2+;H
OH;H2O+
OH;H
H2;H2O+
H2;H
OH+;H2O+
OH+;H
H2;NH4+
H2;H
NH3+;NH4+
NH3+;H
H2;NH4+
H2;H
NH3+;NH4+
NH3+;H
H2;NH4+
H2;H
NH3+;NH4+
NH3+;H
H2+;H3O+
H2+;H
H2O;H3O+
H2O;H
H2;H3O+
H2;H
H2O+;H3O+
H2O+;H
H2;HF+
H2;H
F+;HF+
F+;H
H2;H2+
H2;F
F+;H2+
F+;F
H2;H2F+
H2;H
HF+;H2F+
HF+;H
H2+;C2H+
H2+;H
C2;C2H+
C2;H
H2;C2H+
H2;H
C2+;C2H+
C2+;H
H2+;C2H2+
H2+;H
C2H;C2H2+
C2H;H
H2;C2H2+
H2;H
C2H+;C2H2+
C2H+;H
H2+;HCN+
H2+;H
CN;HCN+
CN;H
H2;HCN+
H2;H
CN+;HCN+
CN+;H
H2+;C2H3+
H2+;H
C2H2;C2H3+
C2H2;H
H2;C2H3+
H2;H
C2H2+;C2H3+
C2H2+;H
H2;HCNH+
H2;H
HCN+;HCNH+
HCN+;H
H2+;HCO+
H2+;H
CO;HCO+
CO;H
H2;HCO+
H2;H
CO+;HCO+
CO+;H
H2;HOC+
H2;H
CO+;HOC+
CO+;H
H2+;HN2+
H2+;H
N2;HN2+
N2;H
H2;HN2+
H2;H
N2+;HN2+
N2+;H
H2+;C2H2+
H2+;H2
H2+;H2
C2H4;C2H2+
C2H4;H2
C2H4;H2
H2+;C2H3+
H2+;H2
H2+;H
C2H4;C2H3+
C2H4;H2
C2H4;H
H2+;CO
H2+;H3+
HCO;CO
HCO;H3+
H2+;HNO+
H2+;H
NO;HNO+
NO;H
H2+;HCO+
H2+;H2
H2+;H
H2CO;HCO+
H2CO;H2
H2CO;H
H2+;C2H4+
H2+;H2
H2+;H2
CH3CH3;C2H4+
CH3CH3;H2
CH3CH3;H2
H2+;C2H5+
H2+;H2
H2+;H
CH3CH3;C2H5+
CH3CH3;H2
CH3CH3;H
H2+;O2H+
H2+;H
O2;O2H+
O2;H
H2;HS+
H2;H
S+;HS+
S+;H
H2;SiH5+
H2;H
SiH4+;SiH5+
SiH4+;H
H2;O2
H2;H3+
O2H+;O2
O2H+;H3+
H2;H2S+
H2;H
HS+;H2S+
HS+;H
H2+;S+
H2+;H2
H2+;H2
H2S;S+
H2S;H2
H2S;H2
H2+;HS+
H2+;H2
H2+;H
H2S;HS+
H2S;H2
H2S;H
H2;H3S+
H2;H
H2S+;H3S+
H2S+;H
H2;HCl+
H2;H
Cl+;HCl+
Cl+;H
H2;C3H+
H2;H
C3+;C3H+
C3+;H
H2;H2Cl+
H2;H
HCl+;H2Cl+
HCl+;H
H2;C3H2+
H2;H
C3H+;C3H2+
C3H+;H
H2;C3H3+
H2;H
C3H2+;C3H3+
C3H2+;H
H2;HCSi+
H2;H
SiC+;HCSi+
SiC+;H
H2;SiCH2+
H2;H
HCSi+;SiCH2+
HCSi+;H
H2;CH3CNH+
H2;H
CH3CN+;CH3CNH+
CH3CN+;H
H2;HCP+
H2;H
CP+;HCP+
CP+;H
H2;SiNH2+
H2;H
HNSi+;SiNH2+
HNSi+;H
H2;PCH2+
H2;H
HCP+;PCH2+
HCP+;H
H2+;HCO2+
H2+;H
CO2;HCO2+
CO2;H
H2;HCO2+
H2;H
CO2+;HCO2+
CO2+;H
H2;HCS+
H2;H
CS+;HCS+
CS+;H
H2;SiOH+
H2;H
SiO+;SiOH+
SiO+;H
H2;NO+
H2;H2O
NO2+;NO+
NO2+;H2O
H2;C4H+
H2;H
C4+;C4H+
C4+;H
H2;C4H2+
H2;H
C4H+;C4H2+
C4H+;H
H2;HC3N+
H2;H
C3N+;HC3N+
C3N+;H
H2;HCN
H2;C2H2+
HC3N+;HCN
HC3N+;C2H2+
H2;HC3NH+
H2;H
HC3N+;HC3NH+
HC3N+;H
H2;NCCNH+
H2;H
C2N2+;NCCNH+
C2N2+;H
H2;SiC2H+
H2;H
SiC2+;SiC2H+
SiC2+;H
H2;HC3O+
H2;H
C3O+;HC3O+
C3O+;H
H2;H4C3N+
H2;H
C2H3CN+;H4C3N+
C2H3CN+;H
H2;HC2S+
H2;H
C2S+;HC2S+
C2S+;H
H2;C5H+
H2;H
C5+;C5H+
C5+;H
H2;C5H2+
H2;H
C5H+;C5H2+
C5H+;H
H2;C3H+
H2;HCN
C4N+;C3H+
C4N+;HCN
H2;H2C4N+
H2;H
HC4N+;H2C4N+
HC4N+;H
H2;HSO2+
H2;H
SO2+;HSO2+
SO2+;H
H2;CH3C3N+
H2;H
H2C4N+;CH3C3N+
H2C4N+;H
H2;CH3C3NH+
H2;H
CH3C3N+;CH3C3NH+
CH3C3N+;H
H2;C6H+
H2;H
C6+;C6H+
C6+;H
H2;C6H2+
H2;H
C6H+;C6H2+
C6H+;H
H2;HC5N+
H2;H
C5N+;HC5N+
C5N+;H
H2;H2C5N+
H2;H
HC5N+;H2C5N+
HC5N+;H
H2;C7H+
H2;H
C7+;C7H+
C7+;H
H2;C7H2+
H2;H
C7H+;C7H2+
C7H+;H
H2;C8H+
H2;H
C8+;C8H+
C8+;H
H2;C8H2+
H2;H
C8H+;C8H2+
C8H+;H
H2;HC7N+
H2;H
C7N+;HC7N+
C7N+;H
H2;H2C7N+
H2;H
HC7N+;H2C7N+
HC7N+;H
H2;C9H+
H2;H
C9+;C9H+
C9+;H
H2;C9H2+
H2;H
C9H+;C9H2+
C9H+;H
H2;HC9N+
H2;H
C9N+;HC9N+
C9N+;H
H2;H2C9N+
H2;H
HC9N+;H2C9N+
HC9N+;H
H3+;CH+
H3+;H2
C;CH+
C;H2
H3+;CH2+
H3+;H2
CH;CH2+
CH;H2
H3+;CH3+
H3+;H2
CH2;CH3+
CH2;H2
H3+;NH2+
H3+;H2
NH;NH2+
NH;H2
H3+;CH4+
H3+;H2
CH3;CH4+
CH3;H2
H3+;OH+
H3+;H2
O;OH+
O;H2
H3+;H2O+
H3+;H
O;H2O+
O;H
H3+;NH3+
H3+;H2
NH2;NH3+
NH2;H2
H3+;CH5+
H3+;H2
CH4;CH5+
CH4;H2
H3+;H2O+
H3+;H2
OH;H2O+
OH;H2
H3+;NH4+
H3+;H2
NH3;NH4+
NH3;H2
H3+;H3O+
H3+;H2
H2O;H3O+
H2O;H2
H3+;H2F+
H3+;H2
HF;H2F+
HF;H2
H3+;Na+
H3+;H2
H3+;H
Na;Na+
Na;H2
Na;H
H3+;C2H+
H3+;H2
C2;C2H+
C2;H2
H3+;Mg+
H3+;H2
H3+;H
Mg;Mg+
Mg;H2
Mg;H
H3+;C2H2+
H3+;H2
C2H;C2H2+
C2H;H2
H3+;HCN+
H3+;H2
CN;HCN+
CN;H2
H3+;C2H3+
H3+;H2
C2H2;C2H3+
C2H2;H2
H3+;HCNH+
H3+;H2
HCN;HCNH+
HCN;H2
H3+;HCNH+
H3+;H2
HNC;HCNH+
HNC;H2
H3+;C2H4+
H3+;H2
C2H3;C2H4+
C2H3;H2
H3+;HCO+
H3+;H2
CO;HCO+
CO;H2
H3+;HOC+
H3+;H2
CO;HOC+
CO;H2
H3+;HN2+
H3+;H2
N2;HN2+
N2;H2
H3+;C2H3+
H3+;H2
H3+;H2
C2H4;C2H3+
C2H4;H2
C2H4;H2
H3+;C2H5+
H3+;H2
C2H4;C2H5+
C2H4;H2
H3+;SiH+
H3+;H2
Si;SiH+
Si;H2
H3+;H2CO+
H3+;H2
HCO;H2CO+
HCO;H2
H3+;CH3CH3+
H3+;H2
C2H5;CH3CH3+
C2H5;H2
H3+;SiH2+
H3+;H2
SiH;SiH2+
SiH;H2
H3+;HNO+
H3+;H2
NO;HNO+
NO;H2
H3+;H3CO+
H3+;H2
H2CO;H3CO+
H2CO;H2
H3+;C2H5+
H3+;H2
H3+;H2
CH3CH3;C2H5+
CH3CH3;H2
CH3CH3;H2
H3+;SiH3+
H3+;H2
SiH2;SiH3+
SiH2;H2
H3+;PH+
H3+;H2
P;PH+
P;H2
H3+;H2NO+
H3+;H2
HNO;H2NO+
HNO;H2
H3+;SiH4+
H3+;H2
SiH3;SiH4+
SiH3;H2
H3+;PH2+
H3+;H2
PH;PH2+
PH;H2
H3+;O2H+
H3+;H2
O2;O2H+
O2;H2
H3+;CH3+
H3+;H2O
H3+;H2
CH3OH;CH3+
CH3OH;H2O
CH3OH;H2
H3+;CH3OH2+
H3+;H2
CH3OH;CH3OH2+
CH3OH;H2
H3+;HS+
H3+;H2
S;HS+
S;H2
H3+;SiH5+
H3+;H2
SiH4;SiH5+
SiH4;H2
H3+;PH3+
H3+;H2
PH2;PH3+
PH2;H2
H3+;H2S+
H3+;H2
HS;H2S+
HS;H2
H3+;H3S+
H3+;H2
H2S;H3S+
H2S;H2
H3+;HCl+
H3+;H2
Cl;HCl+
Cl;H2
H3+;C3H+
H3+;H2
C3;C3H+
C3;H2
H3+;H2Cl+
H3+;H2
HCl;H2Cl+
HCl;H2
H3+;C3H2+
H3+;H2
C3H;C3H2+
C3H;H2
H3+;C2NH+
H3+;H2
C2N;C2NH+
C2N;H2
H3+;C3H3+
H3+;H2
C3H2;C3H3+
C3H2;H2
H3+;H2C3H+
H3+;H2
H2CCC;H2C3H+
H2CCC;H2
H3+;CH3CCH+
H3+;H2
C3H3;CH3CCH+
C3H3;H2
H3+;HC2O+
H3+;H2
C2O;HC2O+
C2O;H2
H3+;CH3CN+
H3+;H2
CH2CN;CH3CN+
CH2CN;H2
H3+;H2C3H+
H3+;H2
H3+;H2
CH3CCH;H2C3H+
CH3CCH;H2
CH3CCH;H2
H3+;HCSi+
H3+;H2
SiC;HCSi+
SiC;H2
H3+;CH3CNH+
H3+;H2
CH3CN;CH3CNH+
CH3CN;H2
H3+;SiCH2+
H3+;H2
HCSi;SiCH2+
HCSi;H2
H3+;CH3CO+
H3+;H2
H2CCO;CH3CO+
H2CCO;H2
H3+;HNSi+
H3+;H2
SiN;HNSi+
SiN;H2
H3+;NH2CNH+
H3+;H2
NH2CN;NH2CNH+
NH2CN;H2
H3+;SiCH3+
H3+;H2
SiCH2;SiCH3+
SiCH2;H2
H3+;HCP+
H3+;H2
CP;HCP+
CP;H2
H3+;SiNH2+
H3+;H2
HNSi;SiNH2+
HNSi;H2
H3+;SiCH4+
H3+;H2
SiCH3;SiCH4+
SiCH3;H2
H3+;PCH2+
H3+;H2
HCP;PCH2+
HCP;H2
H3+;HCO2+
H3+;H2
CO2;HCO2+
CO2;H2
H3+;HCS+
H3+;H2
CS;HCS+
CS;H2
H3+;SiOH+
H3+;H2
SiO;SiOH+
SiO;H2
H3+;HN2O+
H3+;H2
N2O;HN2O+
N2O;H2
H3+;CH3+
H3+;CH3OH
CH3CHO;CH3+
CH3CHO;CH3OH
H3+;CH5+
H3+;H2CO
CH3CHO;CH5+
CH3CHO;H2CO
H3+;H3O+
H3+;C2H4
CH3CHO;H3O+
CH3CHO;C2H4
H3+;C2H3+
H3+;H2
H3+;H2O
CH3CHO;C2H3+
CH3CHO;H2
CH3CHO;H2O
H3+;C2H5+
H3+;H2O
CH3CHO;C2H5+
CH3CHO;H2O
H3+;CH3CO+
H3+;H2
H3+;H2
CH3CHO;CH3CO+
CH3CHO;H2
CH3CHO;H2
H3+;CH3CHOH+
H3+;H2
CH3CHO;CH3CHOH+
CH3CHO;H2
H3+;HPN+
H3+;H2
PN;HPN+
PN;H2
H3+;H2CS+
H3+;H2
HCS;H2CS+
HCS;H2
H3+;NO+
H3+;OH
H3+;H2
NO2;NO+
NO2;OH
NO2;H2
H3+;PCH4+
H3+;H2
CH2PH;PCH4+
CH2PH;H2
H3+;H3O+
H3+;CO
H3+;H2
HCOOH;H3O+
HCOOH;CO
HCOOH;H2
H3+;HCO+
H3+;H2O
H3+;H2
HCOOH;HCO+
HCOOH;H2O
HCOOH;H2
H3+;CH3+
H3+;CH4
H3+;H2O
C2H5OH;CH3+
C2H5OH;CH4
C2H5OH;H2O
H3+;C2H3+
H3+;H2O
H3+;H2
H3+;H2
C2H5OH;C2H3+
C2H5OH;H2O
C2H5OH;H2
C2H5OH;H2
H3+;C2H5+
H3+;H2O
H3+;H2
C2H5OH;C2H5+
C2H5OH;H2O
C2H5OH;H2
H3+;H3CO+
H3+;CH4
H3+;H2
C2H5OH;H3CO+
C2H5OH;CH4
C2H5OH;H2
H3+;CH3CHOH+
H3+;H2
H3+;H2
C2H5OH;CH3CHOH+
C2H5OH;H2
C2H5OH;H2
H3+;CH3OCH4+
H3+;H2
CH3OCH3;CH3OCH4+
CH3OCH3;H2
H3+;HNS+
H3+;H2
NS;HNS+
NS;H2
H3+;H3CS+
H3+;H2
H2CS;H3CS+
H2CS;H2
H3+;H3SiO+
H3+;H2
H2SiO;H3SiO+
H2SiO;H2
H3+;HPO+
H3+;H2
PO;HPO+
PO;H2
H3+;H2PO+
H3+;H2
HPO;H2PO+
HPO;H2
H3+;C4H+
H3+;H2
C4;C4H+
C4;H2
H3+;HSO+
H3+;H2
SO;HSO+
SO;H2
H3+;C4H2+
H3+;H2
C4H;C4H2+
C4H;H2
H3+;HC3N+
H3+;H2
C3N;HC3N+
C3N;H2
H3+;C4H3+
H3+;H2
H2CCCC;C4H3+
H2CCCC;H2
H3+;HC3NH+
H3+;H2
HC3N;HC3NH+
HC3N;H2
H3+;C4H4+
H3+;H2
C4H3;C4H4+
C4H3;H2
H3+;HC3O+
H3+;H2
C3O;HC3O+
C3O;H2
H3+;NCCNH+
H3+;H2
NCCN;NCCNH+
NCCN;H2
H3+;SiC2H+
H3+;H2
SiC2;SiC2H+
SiC2;H2
H3+;H4C3N+
H3+;H2
CH2CHCN;H4C3N+
CH2CHCN;H2
H3+;SiC2H2+
H3+;H2
SiC2H;SiC2H2+
SiC2H;H2
H3+;SiNCH+
H3+;H2
SiNC;SiNCH+
SiNC;H2
H3+;SiC2H3+
H3+;H2
SiC2H2;SiC2H3+
SiC2H2;H2
H3+;HC2P+
H3+;H2
CCP;HC2P+
CCP;H2
H3+;Fe+
H3+;H2
H3+;H
Fe;Fe+
Fe;H2
Fe;H
H3+;PC2H2+
H3+;H2
HC2P;PC2H2+
HC2P;H2
H3+;HC2S+
H3+;H2
C2S;HC2S+
C2S;H2
H3+;H3CO+
H3+;CH3CH3
CH3COCH3;H3CO+
CH3COCH3;CH3CH3
H3+;CH3+
H3+;C2H5OH
CH3COCH3;CH3+
CH3COCH3;C2H5OH
H3+;CH5+
H3+;CO
H3+;CH4
CH3COCH3;CH5+
CH3COCH3;CO
CH3COCH3;CH4
H3+;C2H3+
H3+;CH4
H3+;H2O
CH3COCH3;C2H3+
CH3COCH3;CH4
CH3COCH3;H2O
H3+;C3H5+
H3+;H2O
H3+;H2
CH3COCH3;C3H5+
CH3COCH3;H2O
CH3COCH3;H2
H3+;CH3CO+
H3+;CH4
H3+;H2
CH3COCH3;CH3CO+
CH3COCH3;CH4
CH3COCH3;H2
H3+;CH3COCH4+
H3+;H2
CH3COCH3;CH3COCH4+
CH3COCH3;H2
H3+;H5C2O2+
H3+;H2
HCOOCH3;H5C2O2+
HCOOCH3;H2
H3+;C5H+
H3+;H2
C5;C5H+
C5;H2
H3+;HOCS+
H3+;H2
OCS;HOCS+
OCS;H2
H3+;HSiO2+
H3+;H2
SiO2;HSiO2+
SiO2;H2
H3+;HSiS+
H3+;H2
SiS;HSiS+
SiS;H2
H3+;C5H2+
H3+;H2
C5H;C5H2+
C5H;H2
H3+;C5H3+
H3+;H2
C5H2;C5H3+
C5H2;H2
H3+;HSO2+
H3+;H2
SO2;HSO2+
SO2;H2
H3+;C5H5+
H3+;H2
CH3C4H;C5H5+
CH3C4H;H2
H3+;SiC3H+
H3+;H2
SiC3;SiC3H+
SiC3;H2
H3+;HS2+
H3+;H2
S2;HS2+
S2;H2
H3+;CH3C3NH+
H3+;H2
CH3C3N;CH3C3NH+
CH3C3N;H2
H3+;SiC3H2+
H3+;H2
SiC3H;SiC3H2+
SiC3H;H2
H3+;H2S2+
H3+;H2
HS2;H2S2+
HS2;H2
H3+;H3S2+
H3+;H2
H2S2;H3S2+
H2S2;H2
H3+;PC3H+
H3+;H2
C3P;PC3H+
C3P;H2
H3+;HC3S+
H3+;H2
C3S;HC3S+
C3S;H2
H3+;C6H+
H3+;H2
C6;C6H+
C6;H2
H3+;C6H2+
H3+;H2
C6H;C6H2+
C6H;H2
H3+;HC5N+
H3+;H2
C5N;HC5N+
C5N;H2
H3+;C6H3+
H3+;H2
C6H2;C6H3+
C6H2;H2
H3+;H2C5N+
H3+;H2
HC5N;H2C5N+
HC5N;H2
H3+;SiC4H+
H3+;H2
SiC4;SiC4H+
SiC4;H2
H3+;C6H7+
H3+;H2
C6H6;C6H7+
C6H6;H2
H3+;PC4H+
H3+;H2
C4P;PC4H+
C4P;H2
H3+;HC4S+
H3+;H2
C4S;HC4S+
C4S;H2
H3+;C7H+
H3+;H2
C7;C7H+
C7;H2
H3+;C7H2+
H3+;H2
C7H;C7H2+
C7H;H2
H3+;C7H3+
H3+;H2
C7H2;C7H3+
C7H2;H2
H3+;C7H5+
H3+;H2
C7H4;C7H5+
C7H4;H2
H3+;CH3C5NH+
H3+;H2
CH3C5N;CH3C5NH+
CH3C5N;H2
H3+;C8H+
H3+;H2
C8;C8H+
C8;H2
H3+;C8H2+
H3+;H2
C8H;C8H2+
C8H;H2
H3+;HC7N+
H3+;H2
C7N;HC7N+
C7N;H2
H3+;C8H3+
H3+;H2
C8H2;C8H3+
C8H2;H2
H3+;H2C7N+
H3+;H2
HC7N;H2C7N+
HC7N;H2
H3+;C9H+
H3+;H2
C9;C9H+
C9;H2
H3+;C9H2+
H3+;H2
C9H;C9H2+
C9H;H2
H3+;C9H3+
H3+;H2
C9H2;C9H3+
C9H2;H2
H3+;CH3C7NH+
H3+;H2
CH3C7N;CH3C7NH+
CH3C7N;H2
H3+;HC9N+
H3+;H2
C9N;HC9N+
C9N;H2
H3+;H2C9N+
H3+;H2
HC9N;H2C9N+
HC9N;H2
He+;C+
He+;He
He+;H
CH;C+
CH;He
CH;H
He+;C+
He+;He
He+;H2
CH2;C+
CH2;He
CH2;H2
He+;CH+
He+;He
He+;H
CH2;CH+
CH2;He
CH2;H
He+;N+
He+;He
He+;H
NH;N+
NH;He
NH;H
He+;CH+
He+;He
He+;H2
CH3;CH+
CH3;He
CH3;H2
He+;N+
He+;He
He+;H2
NH2;N+
NH2;He
NH2;H2
He+;NH+
He+;He
He+;H
NH2;NH+
NH2;He
NH2;H
He+;CH+
He+;He
He+;H2
He+;H
CH4;CH+
CH4;He
CH4;H2
CH4;H
He+;CH2+
He+;He
He+;H2
CH4;CH2+
CH4;He
CH4;H2
He+;CH3
He+;He
He+;H+
CH4;CH3
CH4;He
CH4;H+
He+;CH3+
He+;He
He+;H
CH4;CH3+
CH4;He
CH4;H
He+;O+
He+;He
He+;H
OH;O+
OH;He
OH;H
He+;NH+
He+;He
He+;H2
NH3;NH+
NH3;He
NH3;H2
He+;NH2+
He+;He
He+;H
NH3;NH2+
NH3;He
NH3;H
He+;OH
He+;He
He+;H+
H2O;OH
H2O;He
H2O;H+
He+;OH+
He+;He
He+;H
H2O;OH+
H2O;He
H2O;H
He+;F+
He+;H
He+;He
HF;F+
HF;H
HF;He
He+;C+
He+;C
He+;He
C2;C+
C2;C
C2;He
He+;CH+
He+;C
He+;He
C2H;CH+
C2H;C
C2H;He
He+;CH
He+;C+
He+;He
C2H;CH
C2H;C+
C2H;He
He+;C2+
He+;He
He+;H
C2H;C2+
C2H;He
C2H;H
He+;N
He+;C+
He+;He
CN;N
CN;C+
CN;He
He+;N+
He+;C
He+;He
CN;N+
CN;C
CN;He
He+;CH+
He+;CH
He+;He
C2H2;CH+
C2H2;CH
C2H2;He
He+;C2+
He+;He
He+;H2
C2H2;C2+
C2H2;He
C2H2;H2
He+;C2H+
He+;He
He+;H
C2H2;C2H+
C2H2;He
C2H2;H
He+;N
He+;CH+
He+;He
HCN;N
HCN;CH+
HCN;He
He+;N+
He+;CH
He+;He
HCN;N+
HCN;CH
HCN;He
He+;NH+
He+;C
He+;He
HNC;NH+
