# file created on: Wed Feb 24 01:52:30 2010
#i d[i]    d[i+1]   d[i+1]pc N        Av 
74 2.332616e+15 2.447537e+15 7.931921e-04 7.739792e+20 8.277852e-01 
75 2.447537e+15 2.567930e+15 8.322088e-04 8.120508e+20 8.685035e-01 
76 2.567930e+15 2.694056e+15 8.730833e-04 8.519352e+20 9.111607e-01 
77 2.694056e+15 2.826187e+15 9.159041e-04 8.937188e+20 9.558489e-01 
78 2.826187e+15 2.964610e+15 9.607638e-04 9.374919e+20 1.002665e+00 
79 2.964610e+15 3.109623e+15 1.007760e-03 9.833493e+20 1.051710e+00 
80 3.109623e+15 3.261542e+15 1.056993e-03 1.031390e+21 1.103091e+00 
81 3.261542e+15 3.420695e+15 1.108571e-03 1.081719e+21 1.156918e+00 
82 3.420695e+15 3.587425e+15 1.162604e-03 1.134443e+21 1.213309e+00 
83 3.587425e+15 3.762095e+15 1.219211e-03 1.189679e+21 1.272384e+00 
84 3.762095e+15 3.945082e+15 1.278513e-03 1.247544e+21 1.334272e+00 
85 3.945082e+15 4.136781e+15 1.340638e-03 1.308165e+21 1.399107e+00 
86 4.136781e+15 4.337609e+15 1.405722e-03 1.371672e+21 1.467029e+00 
87 4.337609e+15 4.547999e+15 1.473905e-03 1.438204e+21 1.538186e+00 
88 4.547999e+15 4.768407e+15 1.545334e-03 1.507903e+21 1.612730e+00 
89 4.768407e+15 4.999310e+15 1.620165e-03 1.580921e+21 1.690824e+00 
90 4.999310e+15 5.241208e+15 1.698558e-03 1.657415e+21 1.772637e+00 
91 5.241208e+15 5.494624e+15 1.780685e-03 1.737553e+21 1.858345e+00 
92 5.494624e+15 5.760106e+15 1.866722e-03 1.821505e+21 1.948134e+00 
93 5.760106e+15 6.038229e+15 1.956855e-03 1.909456e+21 2.042199e+00 
94 6.038229e+15 6.329596e+15 2.051281e-03 2.001594e+21 2.140742e+00 
95 6.329596e+15 6.634836e+15 2.150202e-03 2.098119e+21 2.243978e+00 
96 6.634836e+15 6.954611e+15 2.253834e-03 2.199241e+21 2.352129e+00 
97 6.954611e+15 7.289611e+15 2.362400e-03 2.305178e+21 2.465430e+00 
98 7.289611e+15 7.640563e+15 2.476136e-03 2.416158e+21 2.584126e+00 
99 7.640563e+15 8.008226e+15 2.595287e-03 2.532423e+21 2.708474e+00 
100 8.008226e+15 8.393396e+15 2.720112e-03 2.654225e+21 2.838743e+00 
101 8.393396e+15 8.796905e+15 2.850881e-03 2.781826e+21 2.975215e+00 
102 8.796905e+15 9.219628e+15 2.987876e-03 2.915502e+21 3.118184e+00 
103 9.219628e+15 9.662479e+15 3.131394e-03 3.055544e+21 3.267962e+00 
104 9.662479e+15 1.012642e+16 3.281746e-03 3.202254e+21 3.424871e+00 
105 1.012642e+16 1.061245e+16 3.439257e-03 3.355950e+21 3.589251e+00 
106 1.061245e+16 1.112162e+16 3.604268e-03 3.516964e+21 3.761459e+00 
107 1.112162e+16 1.165503e+16 3.777136e-03 3.685645e+21 3.941866e+00 
108 1.165503e+16 1.221385e+16 3.958235e-03 3.862358e+21 4.130864e+00 
109 1.221385e+16 1.279927e+16 4.147958e-03 4.047485e+21 4.328861e+00 
110 1.279927e+16 1.341257e+16 4.346714e-03 4.241427e+21 4.536286e+00 
111 1.341257e+16 1.405507e+16 4.554935e-03 4.444604e+21 4.753587e+00 
112 1.405507e+16 1.472817e+16 4.773070e-03 4.657455e+21 4.981235e+00 
113 1.472817e+16 1.543331e+16 5.001591e-03 4.880441e+21 5.219723e+00 
114 1.543331e+16 1.617203e+16 5.240994e-03 5.114045e+21 5.469567e+00 
115 1.617203e+16 1.694593e+16 5.491796e-03 5.358772e+21 5.731307e+00 
116 1.694593e+16 1.775667e+16 5.754540e-03 5.615152e+21 6.005510e+00 
117 1.775667e+16 1.860602e+16 6.029795e-03 5.883740e+21 6.292770e+00 
118 1.860602e+16 1.949581e+16 6.318157e-03 6.165117e+21 6.593708e+00 
119 1.949581e+16 2.042797e+16 6.620249e-03 6.459891e+21 6.908975e+00 
120 2.042797e+16 2.140451e+16 6.936725e-03 6.768702e+21 7.239253e+00 
121 2.140451e+16 2.242756e+16 7.268271e-03 7.092217e+21 7.585259e+00 
122 2.242756e+16 2.349932e+16 7.615603e-03 7.431136e+21 7.947739e+00 
123 2.349932e+16 2.462210e+16 7.979474e-03 7.786193e+21 8.327479e+00 
124 2.462210e+16 2.579836e+16 8.360671e-03 8.158157e+21 8.725301e+00 
125 2.579836e+16 2.703062e+16 8.760019e-03 8.547831e+21 9.142066e+00 
126 2.703062e+16 2.832155e+16 9.178382e-03 8.956061e+21 9.578675e+00 
127 2.832155e+16 2.967395e+16 9.616666e-03 9.383728e+21 1.003607e+01 
128 2.967395e+16 3.109075e+16 1.007582e-02 9.831760e+21 1.051525e+01 
129 3.109075e+16 3.257502e+16 1.055684e-02 1.030112e+22 1.101725e+01 
130 3.257502e+16 3.412995e+16 1.106076e-02 1.079284e+22 1.154314e+01 
131 3.412995e+16 3.575893e+16 1.158867e-02 1.130797e+22 1.209408e+01 
132 3.575893e+16 3.746547e+16 1.214172e-02 1.184762e+22 1.267125e+01 
133 3.746547e+16 3.925326e+16 1.272111e-02 1.241297e+22 1.327591e+01 
134 3.925326e+16 4.112619e+16 1.332808e-02 1.300524e+22 1.390935e+01 
135 4.112619e+16 4.308830e+16 1.396395e-02 1.362572e+22 1.457296e+01 
136 4.308830e+16 4.514383e+16 1.463011e-02 1.427573e+22 1.526816e+01 
137 4.514383e+16 4.729724e+16 1.532798e-02 1.495670e+22 1.599647e+01 
138 4.729724e+16 4.955318e+16 1.605908e-02 1.567009e+22 1.675946e+01 
139 4.955318e+16 5.191655e+16 1.682499e-02 1.641745e+22 1.755877e+01 
140 5.191655e+16 5.439244e+16 1.762738e-02 1.720040e+22 1.839615e+01 
