  70 C        CO                C2       O                  2.94e-11    0.50   58025.0L 193441000C    
  71 C        N2                CN       N                  8.69e-11    0.00   22600.0L 2000 5000ANIST
  72 C        C2H4              C3H3     H                  2.00e-10    0.00       0.0M  300 2500ANIST
  73 C        HCO               CO       CH                 1.00e-11    0.00       0.0L   10  300C    
  74 C        SiH               SiC      H                  5.00e-11    0.50       0.0L   10  300CHM89
  75 C        NO                CN       O                  4.80e-11    0.00       0.0L   1041000A    
  76 C        NO                CO       N                  4.65e-11    0.00       0.0L  30041000A    
  77 C        SiH2              HCSi     H                  5.00e-11    0.50       0.0L   10  300CHM89
  78 C        SiH3              SiCH2    H                  5.00e-11    0.50       0.0L   10  300CHM89
  79 C        PH                CP       H                  4.00e-11    0.00       0.0L   10  300CMI91
  80 C        O2                CO       O                  3.30e-11    0.00       0.0L      umist95  
  81 C        HS                S        CH                 1.20e-11    0.58    5880.0L  196  300CLG88
  82 C        HS                CS       H                  2.00e-11    0.00       0.0L   10  300CLG88
  83 C        H2CCC             C4H      H                  2.00e-10    0.00       0.0L   10  300C    
  84 C        C3H4              C4H2     H2                 4.00e-10    0.00       0.0M   10  300AHH93
  85 C        OCN               CO       CN                 4.00e-11    0.50       0.0L   10  300C    
  86 C        CS                S        C2                 1.44e-11    0.50   20435.0L  68141000CMI84
  87 C        NS                S        CN                 2.00e-11    0.50       0.0L   10  300CMI84
  88 C        NS                CS       N                  1.73e-11    0.50    4000.0L  133  300CMI84
  89 C        HPO               PH       CO                 4.00e-11    0.00       0.0L   10  300CMI91
  90 C        SO                S        CO                 7.20e-11    0.00       0.0L   10  300CLG88
  91 C        SO                CS       O                  1.70e-10    0.00       0.0L   10  300CLG88
  92 C        C4H2              C5H      H                  6.50e-10    0.00       0.0M   10  300AHA93
  93 C        C5H2              C6H      H                  6.50e-10    0.00       0.0M   10  300AHA93
  94 C        C5H4              C6H2     H2                 6.50e-10    0.00       0.0M   10  300AHH93
  95 C        S2                CS       S                  1.73e-11    0.50       0.0L   10  300CMI84
  96 C        C6H2              C7H      H                  5.30e-10    0.00       0.0M   10  300ACH94
  97 C        C7H2              C8H      H                  7.40e-10    0.00       0.0M   10  300ACH94
  98 C        C7H4              C8H2     H2                 8.00e-10    0.17       0.0M   10  300ACH94
  99 C        C8H2              C9H      H                  8.40e-10    0.00       0.0M   10  300ACH94
 100 CH       N                 NH       C                  3.03e-11    0.65    1207.0C  990 1100BNIST
 101 CH       N                 CN       H                  1.66e-10   -0.09       0.0M  222  584ANIST
 102 CH       O                 OH       C                  2.52e-11    0.00    2381.0C   10 6000BNIST
 103 CH       O                 CO       H                  6.60e-11    0.00       0.0L   10 2000ANIST
 105 CH       CH4               CH3      CH2                2.28e-11    0.70    3000.0L  100  300C    
 106 CH       CH4               C2H4     H                  2.23e-12    0.00       0.0L  300  300ANIST
 107 CH       OH                HCO      H                  1.44e-11    0.50    5000.0L  166  300C    
 108 CH       N2                HCN      N                  5.60e-13    0.88   10128.0C 1000 4000BNIST
 109 CH       HCO               CO       CH2                2.87e-12    0.70     500.0L   16  300C    
 110 CH       NO                HCN      O                  5.59e-09    0.00   10814.0L  300 3790ANIST
 111 CH       NO                CN       OH                 2.32e-26    0.00       0.0C  300  300BNIST
 112 CH       NO                HCO      N                  2.70e-11    0.00    5000.0L  166  300C    
 113 CH       NO                OCN      H                  1.13e-25    0.00       0.0L  300  300ANIST
 114 CH       H2CO              HCO      CH2                9.21e-12    0.70    2000.0L   66  300C    
 115 CH       HNO               NO       CH2                1.73e-11    0.50       0.0L   10  300C    
 116 CH       O2                CO       OH                 2.60e-11    0.00       0.0L  298  298ANIST
 117 CH       O2                HCO      O                  1.44e-11    0.70    3000.0L  100 2365A    
 118 CH       S                 HS       C                  1.73e-11    0.50    4000.0L  133  300CMI84
 119 CH       S                 CS       H                  1.10e-12    0.00       0.0L   10  300CLG88
 120 CH       O2H               O2       CH2                2.94e-13    0.50    7550.0L  251  300C    
 121 CH       O2H               HCO      OH                 1.44e-11    0.50    3000.0L  100  300C    
 122 CH       CO2               HCO      CO                 2.94e-13    0.50    3000.0L  100  300C    
 123 N        CH2               HCN      H                  7.89e-11    0.17       0.0C   10  300BHT00
 124 N        CH2               HNC      H                  7.89e-11    0.17       0.0C   10  300BHT00
 125 N        CH2               NH       CH                 9.96e-13    0.00   20380.0C 1000 4000BNIST
 126 N        NH                N2       H                  4.98e-11    0.00       0.0M   10 1400ANIST
 127 N        CH3               HCN      H        H         3.32e-13    0.00       0.0M  253  352ANIST
 128 N        CH3               HCN      H2                 1.30e-11    0.50       0.0M   10  300BMN89
 129 N        CH3               H2CN     H                  7.40e-11    0.26       8.4M   10 2000ANIST
 130 N        OH                O        NH                 1.88e-11    0.10   10700.0M  300 2500CNIST
 131 N        OH                NO       H                  5.32e-11   -0.25       0.0L    umist95    
 132 N        C2                CN       C                  5.00e-11    0.50       0.0L   10  300CMD83
 133 N        CN                N2       C                  3.00e-10    0.0        0.0L     umist95   
 134 N        H2CN              HCN      NH                 1.00e-10    0.00     200.0M  200 2500CNIST
 135 N        HCO               HCN      O                  1.70e-10    0.00       0.0L   10  300C    
 136 N        HCO               CO       NH                 5.71e-12    0.50    1000.0L   33  300C    
 137 N        SiH               SiN      H                  5.00e-11    0.50       0.0L   10  300CHM89
 138 N        NO                N2       O                  3.75e-11    0.00      26.0L  100 4000ANIST
 139 N        SiH2              HNSi     H                  5.00e-11    0.50       0.0L   10  300CHM89
 140 N        HNO               NO       NH                 2.94e-12    0.50    1000.0L   33  300C    
 141 N        HNO               N2O      H                  1.43e-12    0.50    1500.0L   50  300C    
 142 N        SiH3              HNSi     H2                 5.00e-11    0.50       0.0L   10  300CHM89
 143 N        PH                PN       H                  4.00e-11    0.00       0.0L   10  300CMB87
 144 N        O2                NO       O                  2.26e-12    0.86    3134.0L  20014000ANIST
 145 N        O2H               O2       NH                 1.70e-13    0.00       0.0L   10  300C    
 146 N        HS                NS       H                  1.73e-11    0.50       0.0L   10  300CMI84
 147 N        HS                S        NH                 1.73e-11    0.50    9060.0L  30241000CMI84
 148 N        C3H               C3N      H                  2.00e-11    0.50       0.0L   10  300CMN85
 149 N        C3H2              HC3N     H                  2.00e-11    0.50       0.0L   10  300CMN85
 150 N        C3H3              HC3N     H2                 2.00e-11    0.50       0.0L   10  300CMN85
 151 N        SiC               Si       CN                 2.50e-11    0.50       0.0L   10  300CHM89
 152 N        SiC               SiN      C                  2.50e-11    0.50       0.0L   10  300CHM89
 153 N        CO2               NO       CO                 3.20e-13    0.00    1710.0M  291  523ANIST
 154 N        CS                S        CN                 3.80e-11    0.50    1160.0L   38  300CMI84
 155 N        PN                P        N2                 1.00e-18    0.00       0.0L   10  300CMB87
 156 N        HCS               S        HCN                2.00e-11    0.50       0.0L   10  300CPH82
 157 N        NO2               N2       O        O         2.41e-12    0.00       0.0M  300  300ANIST
 158 N        NO2               NO       NO                 6.60e-12    0.00       0.0L   10  300C    
 159 N        NO2               O2       N2                 1.70e-12    0.00       0.0L   10  300C    
 160 N        NO2               N2O      O                  3.00e-12    0.00       0.0M  200 2500CNIST
 161 N        NS                S        N2                 1.73e-11    0.50       0.0L   10  300CMI84
 162 N        PO                P        NO                 2.55e-12    0.00       0.0L   10  300CMB87
 163 N        PO                PN       O                  8.50e-12    0.00       0.0L   10  300CMB87
 164 N        SO                NS       O                  4.68e-11    0.50    8254.0L  275  300CMI84
 165 N        SO                S        NO                 1.73e-11    0.50     750.0L   25  300CMI84
 166 N        C5H               C5N      H                  2.00e-11    0.50       0.0L   10  300CMN85
 167 N        C5H2              HC5N     H                  2.00e-11    0.50       0.0L   10  300CMN85
 168 N        S2                NS       S                  1.73e-11    0.50    4000.0L  133  300CMI84
 169 CH2      CH2               CH3      CH                 4.00e-10    0.00    5000.0M  300 2500CNIST
 170 CH2      CH2               C2H2     H        H         1.80e-10    0.00     400.0L  300 3000ANIST
 171 CH2      CH2               C2H2     H2                 2.63e-09    0.00    6013.0M 1100 2720ANIST
 172 CH2      CH2               C2H3     H                  3.32e-11    0.00       0.0M 1600 2300ANIST
 173 CH2      O                 OH       CH                 4.98e-10    0.00    6000.0M 1900 2300ANIST
 174 CH2      O                 CO       H        H         1.33e-10    0.00       0.0L   10 2500ANIST
 175 CH2      O                 CO       H2                 8.00e-11    0.00       0.0L 1900 2600ANIST
 176 CH2      O                 HCO      H                  5.01e-11    0.00       0.0M 1200 1812ANIST
 177 CH2      CH4               CH3      CH3                7.13e-12    0.00    5050.0M  296 2500CNIST
 178 CH2      OH                O        CH3                1.44e-11    0.50    3000.0L  100  300C    
 179 CH2      OH                H2O      CH                 1.44e-11    0.50    3000.0L  100  300C    
 180 CH2      OH                H2CO     H                  3.00e-11    0.00       0.0L   10 2500ANIST
 181 CH2      CN                HCN      CH                 5.30e-12    0.00    2500.0L   83  300C    
 182 CH2      Si                HCSi     H                  4.00e-11    0.50       0.0L   10  300CHM89
 183 CH2      HCO               CO       CH3                3.00e-11    0.00       0.0L   10 2500ANIST
